schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,5A,0x0100,256,,,0x908EFCCC,30,32,3,1,4,,,21,15,0,-7,-13,2000,50,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,5B,0x0101,257,,,0x908F0114,56,64,9,1,4,,,21,15,0,21,15,3000,100,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,5C,0x0102,258,,,0x908F0538,3,11,9,1,4,,,21,15,0,-28,-34,3600,150,2,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,2A,0x0103,259,,,0x908F0CCC,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,2B,0x0104,260,,,0x908F0CD4,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,2C,0x0105,261,,,0x908F0CDC,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,6C,0x0106,262,,,0x908F0CE4,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,3C,0x0108,264,,,0x908F0CF4,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,j.A,0x0109,265,,,0x908F0CFC,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,j.B,0x010A,266,,,0x908F0D04,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:010A|||j.B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,j.C,0x010B,267,,,0x908F0D0C,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:010B|||j.C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,23,Yami,id_23_yami,P2-C1,2026-07-13T18:43:52Z,normal,saved full action profile,6B,0x010E,270,,,0x908F0D24,2,2,1,,,,,21,15,0,-37,-43,1200,200,0,,0,,,,,,,,,saved full action profile,0x908D6C80,,,23|id_23_yami|normal|action:010E|||6B
