# GLOBAL UNIVERSAL NORMALS / AIR NORMALS
256,0x100,5A,5A,5A,yes,100
257,0x101,5B,5B,5B,yes,100
258,0x102,5C,5C,5C,yes,100
259,0x103,2A,2A,2A,yes,100
260,0x104,2B,2B,2B,yes,100
261,0x105,2C,2C,2C,yes,100
262,0x106,6C,6C,6C,yes,100
263,0x130,back throw,Yoyo A,Yoyo A,yes,100
264,0x108,3C,3C,3C,yes,100
265,0x138,j.A,j.A,j.A,yes,100
266,0x138,j.B,j.B,j.B,yes,100
267,0x138,j.C,j.C,j.C,yes,100
268,0x138,j.B (Second),j.C,j.C,yes,100
269,0x138,j.C (Second),j.C,j.C,yes,100
270,0x10e,6B,6B,6B,yes,100
271,0x10f,j.2C,3B,3B,yes,100
277,0x10f,Filler?,3B,3B,yes,100
278,0x10f,Filler?,3B,3B,yes,100
279,0x10f,Filler?,3B,3B,yes,100


281,0x130,Forward Throw,Hado L,Hado L,yes,12
284,0x130,Air Forward Throw,Hado L,Hado L,yes,12
285,0x130,Back Throw,Hado L,Hado L,yes,12
286,0x130,Back Thrown,Hado L,Hado L,yes,12
282,0x10f,Front Throw,3B,3B,yes,100
283,0x10f,Air Front Throw,3B,3B,yes,100
285,0x10f,Air Back Throw,3B,3B,yes,100
286,0x10f,Back Throw,3B,3B,yes,100
288,0x138,j.A (second hit),j.A (second hit),j.A (second hit),yes,100
289,0x138,j.B (second hit),j.B (second hit),j.B (second hit),yes,100

# Ken the Eagle (ID: 1)
304,0x130,Bird Run A,Bird Run A,Bird Run A,yes,1
305,0x131,Bird Run B,Bird Run B,Bird Run B,yes,1
306,0x132,Bird Run C,Bird Run C,Bird Run C,yes,1
307,0x133,Bird Shoot A,Bird Shoot A,Bird Shoot A,yes,1
308,0x133,Bird Shoot B,Bird Shoot A,Bird Shoot A,yes,1
309,0x133,Bird Shoot C,Bird Shoot A,Bird Shoot A,yes,1
310,0x133,Random Flight A,Bird Shoot A,Bird Shoot A,yes,1
311,0x133,Random Flight A,Bird Shoot A,Bird Shoot A,yes,1
312,0x133,Random Flight A,Bird Shoot A,Bird Shoot A,yes,1
320,0x133,Eagle Rush A,Bird Shoot A,Bird Shoot A,yes,1
321,0x133,Eagle Rush B,Bird Shoot A,Bird Shoot A,yes,1
322,0x133,Eagle Rush C,Bird Shoot A,Bird Shoot A,yes,1
323,0x133,Air Bird Run A,Bird Shoot A,Bird Shoot A,yes,1
324,0x133,Air Bird Run B,Bird Shoot A,Bird Shoot A,yes,1
325,0x133,Air Bird Run C,Bird Shoot A,Bird Shoot A,yes,1
326,0x133,Air Bird Shoot A,Bird Shoot A,Bird Shoot A,yes,1
327,0x133,Air Bird Shoot B,Bird Shoot A,Bird Shoot A,yes,1
328,0x133,Air Bird Shoot C,Bird Shoot A,Bird Shoot A,yes,1
329,0x133,Air Random Flight A,Bird Shoot A,Bird Shoot A,yes,1
330,0x133,Air Random Flight B,Bird Shoot A,Bird Shoot A,yes,1
331,0x133,Air Random Flight C,Bird Shoot A,Bird Shoot A,yes,1
352,0x161,Lightning Strike,Bird Smash,Bird Smash,yes,1
353,0x161,Bird Smash,Bird Smash,Bird Smash,yes,1
354,0x161,Air Bird Smash,Bird Smash,Bird Smash,yes,1
368,0x1ae,Phoenix,Phoenix,Phoenix,yes,1
512,0x1ae,Phoenix,Phoenix,Phoenix,yes,1
430,0x1ae,Phoenix,Phoenix,Phoenix,yes,1
514,0x202,Lightning Strike,Lightning Strike,Lightning Strike,yes,1


# Casshan (ID: 2)
304,0x130,Denko A,Denko A,Denko A,yes,2
305,0x131,Denko B,Denko B,Denko B,yes,2
306,0x132,Denko C,Denko C,Denko C,yes,2
306,0x132,Boulder Chop A,Denko C,Denko C,yes,2
307,0x132,Boulder Chop A,Denko C,Denko C,yes,2
308,0x132,Boulder Chop A,Denko C,Denko C,yes,2
310,0x136,Knee A,Knee A,Knee A,yes,2
311,0x137,Knee B,Knee B,Knee B,yes,2
312,0x138,Knee C,Knee C,Knee C,yes,2
313,0x139,Friender A,Friender A,Friender A,yes,2
314,0x13a,Friender B,Friender B,Friender B,yes,2
314,0x13a,Friender C,Friender B,Friender B,yes,2
320,0x13a,Shooting Star Kick A,Friender B,Friender B,yes,2
321,0x13a,Shooting Star Kick B,Friender B,Friender B,yes,2
323,0x13a,Shooting Star Kick C,Friender B,Friender B,yes,2
352,0x160,Brutal Axe,Brutal Axe,Brutal Axe,yes,2
353,0x161,Scrap Android,Scrap Android,Scrap Android,yes,2
368,0x204,Super Destruction Beam,Super Destruction Beam,Super Destruction Beam,yes,2
512,0x200,Denko C Charge,Denko C Charge,Denko C Charge,yes,2
520,0x161,Scrap Android,Scrap Android,Scrap Android,yes,2
