timestamp_utc,sequence,frame,attacker_slot,attacker_name,attacker_base,attacker_char_id,action_id,action_name,victim_slot,victim_name,victim_base,victim_char_id,source_kind,source_confidence,source_score,source_age_frames,property_a,property_a_text,property_b,property_b_text,property_b_route_inference,phase_property_a,phase_property_b,runtime_status_20,actor,base_damage,final_damage,chip_damage,outcome,trigger_reasons,hp_before,hp_after,max_hp,recoverable_before,recoverable_after,red_health_generated,attacker_meter_before,attacker_meter_after,victim_meter_before,victim_meter_after,combo_before,combo_after,combo_scale_before,combo_scale_after,team_correction,baroque_active,baroque_red_spent,roll_power_flags,puddle_stacks,victim_action_before,victim_action_after,victim_action_path,reaction_phase_before,reaction_phase_after,reaction_phase_path,max_hitstun,max_blockstun,reaction_family_before,reaction_family_after,position_x_before,position_x_after,position_y_before,position_y_after,height_before,height_after,position_delta_x,position_delta_y,velocity_x_est,velocity_y_est,knockdown_observed,wall_reaction_observed,air_recovery_observed,position_stabilized_observed,sample_count,correlation_notes
2026-07-28T15:06:50Z,1,467,P1-C1,Ryu,2454108608,12,256,5A,P2-C1,Ken the Eagle,2457778656,1,move_definition,high,104.0,0,9,"Mid, Light Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,800,0,hit,"[""HP -800""]",44000,43200,44000,0,0,0,50000,50000,23749,24025,0,0,1.0,1.0,1.0,False,0,0,0,1,1,0x0001 Action 1 > 0x0040 Standing Hitstun > 0x0001 Action 1,hitstun,neutral,hitstun > neutral,21,0,0,0,0.7698439359664917,3.3069326877593994,0.0,0.0,0.0,0.0,2.5370887517929077,0.0,0.13353098693646884,0.0,False,False,False,False,19,source age 0f; current move definition; action ID matched; distance 0.00
2026-07-28T15:06:54Z,2,502,P1-C1,Ryu,2454108608,12,267,j.C,P2-C1,Ken the Eagle,2457778656,1,move_definition,medium,80.0,0,20,"High, Heavy Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,11642,0,hit,"[""HP -2560"",""hitstun +21"",""reaction neutral->hitstun""]",44000,32358,44000,0,4660,4660,50000,50000,24025,28057,0,0,1.0,1.0,1.0,False,0,0,0,1,96,0x0001 Action 1 > 0x0041 Overhead Hitstun > 0x0001 Action 1 > 0x0040 Standing Hitstun > 0x0042 Low Hitstun > 0x0040 Standing Hitstun > 0x0060 Soft Knockdown,neutral,knockdown,hitstun > knockdown,21,0,0,0,0.3794480562210083,1.362770915031433,-62.1952018737793,28.454042434692383,0.0,0.0,0.9833228588104248,90.64924430847168,0.05175383467423288,4.771012858340614,True,False,False,False,19,source age 0f; current move definition; action ID matched
2026-07-28T15:06:54Z,3,510,P1-C1,Ryu,2454108608,12,256,5A,P2-C1,Ken the Eagle,2457778656,1,move_definition,high,92.0,0,9,"Mid, Light Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,11053,0,hit,"[""HP -800"",""hitstun +12"",""last-hit/action transition""]",41440,30387,44000,1024,5449,4425,50000,50000,24914,28739,0,0,1.0,1.0,1.0,False,0,0,0,65,82,0x0001 Action 1 > 0x0040 Standing Hitstun > 0x0042 Low Hitstun > 0x0040 Standing Hitstun > 0x0060 Soft Knockdown > 0x005B Soft Knockdown > 0x0051 Bounce Launch > 0x0052 Bounce Off,hitstun,knockdown,hitstun > knockdown,21,0,0,0,0.6183149218559265,0.3510860502719879,0.0,83.16651153564453,0.0,0.0,-0.2672288715839386,83.16651153564453,-0.014064677451786241,4.377184817665501,True,True,False,False,19,source age 0f; current move definition; distance 0.12
2026-07-28T15:06:55Z,4,511,P1-C1,Ryu,2454108608,12,257,5B,P2-C1,Ken the Eagle,2457778656,1,move_definition,high,104.0,0,10,"Mid, Medium Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,10253,0,hit,"[""HP -1368"",""last-hit/action transition"",""hitstun +11""]",40640,30387,44000,1344,5449,4105,50000,50000,25190,28739,0,0,1.0,1.0,1.0,False,0,0,0,1,82,0x0040 Standing Hitstun > 0x0042 Low Hitstun > 0x0040 Standing Hitstun > 0x0060 Soft Knockdown > 0x005B Soft Knockdown > 0x0051 Bounce Launch > 0x0052 Bounce Off,hitstun,knockdown,hitstun > knockdown,21,0,0,0,0.8020040988922119,0.07225029170513153,0.0,86.77067565917969,0.0,0.0,-0.7297538071870804,86.77067565917969,-0.038408095115109495,4.566877666272615,True,True,False,False,19,source age 0f; current move definition; action ID matched; distance 0.00
2026-07-28T15:06:55Z,5,513,P1-C1,Ryu,2454108608,12,260,2B,P2-C1,Ken the Eagle,2457778656,1,move_definition,high,104.0,0,34,"Low, Medium Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,8885,0,hit,"[""HP -1224"",""hitstun +6""]",39272,30387,44000,1892,5449,3557,50000,50000,25664,28739,0,0,1.0,1.0,1.0,False,0,0,0,64,82,0x0040 Standing Hitstun > 0x0042 Low Hitstun > 0x0040 Standing Hitstun > 0x0060 Soft Knockdown > 0x005B Soft Knockdown > 0x0051 Bounce Launch > 0x0052 Bounce Off,hitstun,knockdown,hitstun > knockdown,21,0,0,0,1.2494663000106812,0.38075077533721924,0.0,0.0,0.0,0.0,-0.8687155246734619,0.0,-0.04572186971965589,0.0,True,True,False,False,19,source age 0f; current move definition; action ID matched; distance 0.00
2026-07-28T15:06:55Z,6,515,P1-C1,Ryu,2454108608,12,258,5C,P2-C1,Ken the Eagle,2457778656,1,move_definition,high,104.0,0,12,"Mid, Heavy Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,7661,0,hit,"[""HP -2108"",""hitstun +11""]",38048,30387,44000,2382,5449,3067,50000,50000,26087,28739,0,0,1.0,1.0,1.0,False,0,0,0,66,92,0x0042 Low Hitstun > 0x0040 Standing Hitstun > 0x0060 Soft Knockdown > 0x005B Soft Knockdown > 0x0051 Bounce Launch > 0x0052 Bounce Off > 0x005C Hard Knockdown,hitstun,knockdown,hitstun > knockdown,21,0,0,0,0.8543294072151184,0.43521612882614136,0.0,0.0,0.0,0.0,-0.41911327838897705,0.0,-0.022058593599419845,0.0,True,True,False,False,19,source age 0f; current move definition; action ID matched; distance 0.01
2026-07-28T15:06:56Z,7,518,P1-C1,Ryu,2454108608,12,261,2C,P2-C1,Ken the Eagle,2457778656,1,move_definition,medium,74.0,0,36,"Low, Heavy Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,5553,0,hit,"[""HP -1919"",""hitstun +2"",""reaction hitstun->knockdown""]",35940,30387,44000,3226,5449,2223,50000,50000,26817,28739,0,0,1.0,1.0,1.0,False,0,0,0,64,119,0x0040 Standing Hitstun > 0x0060 Soft Knockdown > 0x005B Soft Knockdown > 0x0051 Bounce Launch > 0x0052 Bounce Off > 0x005C Hard Knockdown > 0x0077 Get Up Face Down,hitstun,wakeup,hitstun > knockdown > wakeup,21,0,0,0,1.2406853437423706,0.6394838094711304,0.0,0.0,0.0,0.0,-0.6012015342712402,0.0,-0.0316421860142758,0.0,True,True,False,False,19,source age 0f; current move definition; distance 11.78
2026-07-28T15:06:56Z,8,520,P1-C1,Ryu,2454108608,12,262,6C,P2-C1,Ken the Eagle,2457778656,1,move_definition,medium,80.0,0,12,"Mid, Heavy Hit",64,Standard-strike baseline,standard-strike baseline,0,0,0,0,0,3634,0,hit,"[""HP -1663""]",34021,30387,44000,3994,5449,1455,50000,50000,27482,28739,0,0,1.0,1.0,1.0,False,0,0,0,96,1,0x0060 Soft Knockdown > 0x005B Soft Knockdown > 0x0051 Bounce Launch > 0x0052 Bounce Off > 0x005C Hard Knockdown > 0x0077 Get Up Face Down > 0x0001 Action 1,knockdown,hitstun,knockdown > wakeup > hitstun,21,0,0,0,1.4718981981277466,0.818693220615387,21.682085037231445,0.0,0.0,0.0,-0.6532049775123596,-21.682085037231445,-0.03437920934275577,-1.1411623703806024,True,True,False,False,19,source age 0f; current move definition; action ID matched
2026-07-28T15:06:57Z,9,524,P1-C1,Ryu,2454108608,12,315,Donkey H,P2-C1,Ken the Eagle,2457778656,1,move_definition,medium,80.0,0,12,"Mid, Heavy Hit",262208,"Standard-strike baseline, Special chip route B, one-eighth damage",standard-strike baseline; special chip route,0,0,0,0,0,1971,0,hit,"[""HP -1971""]",32358,30387,44000,4660,5449,789,50000,50000,28057,28739,0,0,1.0,1.0,1.0,False,0,0,0,91,1,0x005B Soft Knockdown > 0x0051 Bounce Launch > 0x0052 Bounce Off > 0x005C Hard Knockdown > 0x0077 Get Up Face Down > 0x0001 Action 1,knockdown,hitstun,knockdown > wakeup > hitstun,21,0,0,0,0.3389766216278076,0.8158304691314697,75.96522521972656,0.0,0.0,0.0,0.4768538475036621,-75.96522521972656,0.025097570921245375,-3.9981697484066614,True,True,False,False,19,source age 0f; current move definition; action ID matched
2026-07-28T15:06:59Z,10,538,P1-C1,Ryu,2454108608,12,315,Donkey H,P2-C1,Ken the Eagle,2457778656,1,move_definition_latched,high,92.0,0,12,"Mid, Heavy Hit",262208,"Standard-strike baseline, Special chip route B, one-eighth damage",standard-strike baseline; special chip route,0,0,0,0,0,0,0,"hit, no HP loss","[""reaction wakeup->hitstun""]",30387,30387,44000,5449,0,-5449,50000,50000,28739,28739,0,0,1.0,1.0,1.0,False,0,0,0,119,1,0x0001 Action 1,wakeup,hitstun,hitstun,21,0,0,0,0.7899466156959534,0.8182617425918579,0.0,0.0,0.0,0.0,0.02831512689590454,0.0,0.0014902698366265547,0.0,False,False,False,True,19,source age 0f; current move definition; distance 0.00
